Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
ENOG410XT5M	tonB-dependent Receptor Plug	Inorganic ion transport and metabolism	-0.822046647	Dairy	0.471531663	0.800325862
PF16128	[Domain of unknown function (DUF4840)]		-0.67273677	Dairy	0.471531663	0.800325862
PF16332	[Domain of unknown function (DUF4962)]		-0.8663361	Dairy	0.472978808	0.802542187
ENOG410YAIR	TonB dependent receptor	Inorganic ion transport and metabolism	-0.026709728	Dairy	0.473731939	0.803331808
ENOG410YK7G		Function unknown	-1.031182707	Dairy	0.474132561	0.803331808
K11264	methylmalonyl-CoA decarboxylase [EC:4.1.1.-]	Metabolism; Carbohydrate metabolism; Propanoate metabolism	-0.560724707	Dairy	0.474132561	0.803331808
ENOG4111X1V		Function unknown	-0.69235306	Dairy	0.475839615	0.803331808
PF09093	"[Lyase, catalytic]"		-0.921950066	Dairy	0.476055181	0.803331808
K13607	cinnamoyl-CoA:phenyllactate CoA-transferase [EC:2.8.3.17]	"Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis"	-0.706671408	Dairy	0.476055181	0.803331808
ENOG4111VYM		Function unknown	-0.700992485	Dairy	0.476954847	0.803331808
ENOG410YQ31		Function unknown	-0.850594161	Dairy	0.477080628	0.803331808
PF03515	[Colicin-like bacteriocin tRNase domain]		-0.380410697	Dairy	0.477306928	0.803331808
ENOG410Z39D	Mac 1	Function unknown	-0.332774576	Dairy	0.477306928	0.803331808
ENOG4111II9	Tetr family transcriptional regulator	Transcription	-0.385159782	Dairy	0.477679126	0.803331808
ENOG410XP6M	cyclin related protein	Function unknown	-0.690980439	Dairy	0.477730869	0.803331808
ENOG4111URW	solute-binding protein	Carbohydrate transport and metabolism	-0.033452691	Dairy	0.478947979	0.803331808
K09960	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	-0.593615577	Dairy	0.478964959	0.803331808
ENOG410XSUA	Pfam:DUF3111	Function unknown	-0.487145602	Dairy	0.479794923	0.803331808
ENOG4112AQE		Function unknown	-0.981745494	Dairy	0.48012567	0.803331808
ENOG41129TD	Transcription termination factor nusG	Transcription	-0.702532236	Dairy	0.480332326	0.803331808
K03579	ATP-dependent helicase HrpB [EC:3.6.4.13]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-0.423741983	Dairy	0.480332326	0.803331808
ENOG4111S06		Function unknown	-0.680229979	Dairy	0.480357266	0.803331808
ENOG41102I4		Function unknown	-0.46670349	Dairy	0.480508304	0.803331808
ENOG410YMAE		Function unknown	-0.542035691	Dairy	0.480508422	0.803331808
PF06439	[Domain of Unknown Function (DUF1080)]		-0.846745989	Dairy	0.480633894	0.803331808
PF18976	[]		-0.760939059	Dairy	0.480767758	0.803331808
PF06616	[BsuBI/PstI restriction endonuclease C-terminus]		-0.55617156	Dairy	0.480767758	0.803331808
PF12733	[Cadherin-like beta sandwich domain]		-0.811097108	Dairy	0.480792847	0.803331808
ENOG410YUH9		Function unknown	-0.455795665	Dairy	0.480792847	0.803331808
K01082	"3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"	Metabolism; Energy metabolism; Sulfur metabolism | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	-0.448022663	Dairy	0.480792847	0.803331808
K06897	"7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]"	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis	-0.593771168	Dairy	0.480801208	0.803331808
K08352	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]	Metabolism; Energy metabolism; Sulfur metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.505842607	Dairy	0.480801208	0.803331808
PF18991	[]		-0.490127187	Dairy	0.480801208	0.803331808
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Eggerthellales.f_Eggerthellaceae.g_Eggerthella.s_Unclassified.Eggerthella	NA	NA	-0.4806577	Dairy	0.480801208	0.803331808
ENOG4111J8P	domain protein	Function unknown	-0.442412027	Dairy	0.480801208	0.803331808
COG2234	Predicted aminopeptidases	General function prediction only	-0.436045466	Dairy	0.480801208	0.803331808
ENOG41123X9		Function unknown	-0.427723998	Dairy	0.480801208	0.803331808
K07322	regulator of cell morphogenesis and NO signaling	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	-0.406913404	Dairy	0.480801208	0.803331808
COG2910	Putative NADH-flavin reductase	General function prediction only	-0.32914318	Dairy	0.480801208	0.803331808
COG4198	Uncharacterized conserved protein	Function unknown	-0.284695314	Dairy	0.480801208	0.803331808
K02011	iron(III) transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.247141968	Dairy	0.480801208	0.803331808
COG1830	"DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes"	Carbohydrate transport and metabolism	-0.218773965	Dairy	0.480801208	0.803331808
PF00144	[Beta-lactamase]		-0.205780737	Dairy	0.480801208	0.803331808
K02012	iron(III) transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.195719095	Dairy	0.480801208	0.803331808
K06131	cardiolipin synthase A/B [EC:2.7.8.-]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	-0.165084274	Dairy	0.480801208	0.803331808
COG2152	Predicted glycosylase	Carbohydrate transport and metabolism	-0.164818788	Dairy	0.480801208	0.803331808
K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	-0.15530097	Dairy	0.480801208	0.803331808
K03303	lactate permease	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.125592837	Dairy	0.480801208	0.803331808
K01537	K01537 (name not available)	K01537 (path not available)	-0.116023675	Dairy	0.480801208	0.803331808
K11065	"thiol peroxidase, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]"	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-0.114626046	Dairy	0.480801208	0.803331808
PF01569	[PAP2 superfamily]		-0.092956197	Dairy	0.480801208	0.803331808
PF02581	[Thiamine monophosphate synthase]		-0.076966701	Dairy	0.480801208	0.803331808
PF08497	[Radical SAM N-terminal]		-0.066467122	Dairy	0.480801208	0.803331808
K09710	ribosome-associated protein	Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	-0.048537904	Dairy	0.480801208	0.803331808
K09820	manganese/iron transport system ATP-binding protein	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-1.120381559	Dairy	0.482023735	0.805141928
ENOG4111R9W		Function unknown	-0.661470463	Dairy	0.482026381	0.805141928
K16554	polysaccharide biosynthesis transport protein	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.424678452	Dairy	0.482412002	0.805628044
PF00801	[PKD domain]		-0.423941817	Dairy	0.482412002	0.805628044
K16248	probable glucitol transport protein GutA	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.821886819	Dairy	0.484829346	0.805891049
ENOG410Y18H	Broad-specificity glycosaminoglycan lyase (By similarity)	Function unknown	-0.952280123	Dairy	0.484857892	0.805891049
ENOG410YC8I		Function unknown	-1.026668211	Dairy	0.485395771	0.805891049
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides.faecis	NA	NA	-0.765024618	Dairy	0.485943262	0.805891049
COG1470	Predicted membrane protein	Function unknown	-0.887052499	Dairy	0.486151212	0.805891049
ENOG4111P3Q	Glycosyl transferase family 2	Cell wall/membrane/envelope biogenesis	-0.443680397	Dairy	0.486226012	0.805891049
ENOG411257G		Function unknown	-0.368207793	Dairy	0.486226012	0.805891049
K08307	membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]	Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	-0.36411388	Dairy	0.486226012	0.805891049
ENOG410YSJJ		Function unknown	-0.588094637	Dairy	0.487014554	0.805891049
ENOG4110HXD	CotH protein	Function unknown	-0.8782351	Dairy	0.487372116	0.805891049
ENOG4111UID		Function unknown	-0.721682031	Dairy	0.487527632	0.805891049
ENOG410XQPI	Cdp-alcohol phosphatidyltransferase	Function unknown	-0.557254966	Dairy	0.487527632	0.805891049
PF09092	"[Lyase, N terminal]"		-0.910100241	Dairy	0.487902919	0.805891049
ENOG410XT0S		Function unknown	-0.760030239	Dairy	0.487902919	0.805891049
ENOG410YP1Q		Function unknown	-0.812753201	Dairy	0.488592687	0.805891049
ENOG410ZEB6		Function unknown	-0.821920129	Dairy	0.488599444	0.805891049
ENOG410Y40Z		Function unknown	-1.168332629	Dairy	0.489063569	0.805891049
PF18025	[]		-0.77594041	Dairy	0.489063569	0.805891049
ENOG4111PS8	outer membrane lipoprotein carrier protein LolA	Cell wall/membrane/envelope biogenesis	-0.622010694	Dairy	0.489063569	0.805891049
COG1700	Uncharacterized conserved protein	Function unknown	-0.791494434	Dairy	0.489703782	0.805891049
ENOG410XSSS	TonB-dependent Receptor Plug	Inorganic ion transport and metabolism	-0.657258472	Dairy	0.48987475	0.805891049
ENOG410XT1B	SusD family	Function unknown	-0.582017112	Dairy	0.48987475	0.805891049
ENOG410XSVM		Function unknown	-0.724947055	Dairy	0.490333001	0.805891049
ENOG410XZM9		Function unknown	-0.711722316	Dairy	0.490333001	0.805891049
PF11721	[Di-glucose binding within endoplasmic reticulum]		-0.869507326	Dairy	0.490707026	0.805891049
ENOG410YS9X	Histidine kinase	Signal transduction mechanisms	-0.681408109	Dairy	0.490707026	0.805891049
K03444	"MFS transporter, SP family, sugar porter, other"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.666732462	Dairy	0.491237575	0.805891049
K22230	scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.-]	Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism	-0.515820896	Dairy	0.491411304	0.805891049
ENOG4110PHZ	sugar ABC transporter (Permease)	Carbohydrate transport and metabolism	-0.292780959	Dairy	0.491535288	0.805891049
ENOG410YFH5	Ragb susd domain-containing protein	Function unknown	-1.080240606	Dairy	0.491603814	0.805891049
K16907	fluoroquinolone transport system ATP-binding protein [EC:3.6.3.-]	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	-0.418325087	Dairy	0.491617895	0.805891049
COG4640	Predicted membrane protein	Function unknown	-0.417737504	Dairy	0.491617895	0.805891049
PF07168	[Ureide permease]		-0.693561906	Dairy	0.49166744	0.805891049
ENOG410YP0W	Competence protein	Function unknown	-0.476582959	Dairy	0.49166744	0.805891049
K13052	cell division protein DivIC	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	-0.489631641	Dairy	0.491692207	0.805891049
K03473	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism	-0.413339561	Dairy	0.491692207	0.805891049
COG4473	"Predicted ABC-type exoprotein transport system, permease component"	"('{} (path not available)', 'COG4473')"	-0.314748357	Dairy	0.491692207	0.805891049
ENOG410YWC4		Function unknown	-0.034347533	Dairy	0.491692207	0.805891049
K06403	stage V sporulation protein AA	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	-0.489178057	Dairy	0.491700462	0.805891049
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Anaerotruncus.s_Anaerotruncus.colihominis	NA	NA	-0.486482199	Dairy	0.491700462	0.805891049
K06399	stage IV sporulation protein B [EC:3.4.21.116]	Brite Hierarchies; Protein families: metabolism; Peptidases	-0.462736949	Dairy	0.491700462	0.805891049
COG4477	Negative regulator of septation ring formation	Cell division and chromosome partitioning	-0.409538234	Dairy	0.491700462	0.805891049
ENOG4111RVG		Function unknown	-0.363257706	Dairy	0.491700462	0.805891049
K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-0.351503903	Dairy	0.491700462	0.805891049
COG0785	Cytochrome c biogenesis protein	"Posttranslational modification, protein turnover, chaperones"	-0.327319896	Dairy	0.491700462	0.805891049
ENOG41121HZ	AraC family transcriptional regulator	Transcription	-0.317331973	Dairy	0.491700462	0.805891049
COG4109	Predicted transcriptional regulator containing CBS domains	Transcription	-0.3114443	Dairy	0.491700462	0.805891049
ENOG410XPBQ	Meningioma expressed antigen 5 (Hyaluronidase)	Function unknown	-0.310733125	Dairy	0.491700462	0.805891049
PF01914	[MarC family integral membrane protein]		-0.295273092	Dairy	0.491700462	0.805891049
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes	-0.275923578	Dairy	0.491700462	0.805891049
COG2095	Multiple antibiotic transporter	"('{} (path not available)', 'COG2095')"	-0.262704893	Dairy	0.491700462	0.805891049
ENOG410XWVU	Domain of unknown function (DUF303) 	Function unknown	-0.241676621	Dairy	0.491700462	0.805891049
K01179	endoglucanase [EC:3.2.1.4]	Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism	-0.230331944	Dairy	0.491700462	0.805891049
PF00676	[Dehydrogenase E1 component]		-0.229449607	Dairy	0.491700462	0.805891049
COG1271	"Cytochrome bd-type quinol oxidase, subunit 1"	Energy production and conversion	-0.208913778	Dairy	0.491700462	0.805891049
COG1440	Phosphotransferase system cellobiose-specific component IIB	Carbohydrate transport and metabolism	-0.194092323	Dairy	0.491700462	0.805891049
ENOG4111S7S	"Transcriptional regulator, TetR family"	Transcription	-0.184755962	Dairy	0.491700462	0.805891049
COG2954	Uncharacterized protein conserved in bacteria	Function unknown	-0.183243947	Dairy	0.491700462	0.805891049
COG2003	DNA repair proteins	"DNA replication, recombination and repair"	-0.168072102	Dairy	0.491700462	0.805891049
PF02589	[LUD domain]		-0.15543756	Dairy	0.491700462	0.805891049
K03650	tRNA modification GTPase [EC:3.6.-.-]	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	-0.150992778	Dairy	0.491700462	0.805891049
COG2315	Uncharacterized protein conserved in bacteria	Function unknown	-0.134062011	Dairy	0.491700462	0.805891049
COG4552	Predicted acetyltransferase involved in intracellular survival and related acetyltransferases	General function prediction only	-0.13334331	Dairy	0.491700462	0.805891049
PF00265	[Thymidine kinase]		-0.129695512	Dairy	0.491700462	0.805891049
COG2875	Precorrin-4 methylase	Coenzyme metabolism	-0.127775745	Dairy	0.491700462	0.805891049
COG4555	"ABC-type Na+ transport system, ATPase component"	Inorganic ion transport and metabolism|Energy production and conversion	-0.121584593	Dairy	0.491700462	0.805891049
PF08328	[Adenylosuccinate lyase C-terminal]		-0.114320788	Dairy	0.491700462	0.805891049
K07813	accessory gene regulator B	Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: metabolism; Peptidases	-0.108691607	Dairy	0.491700462	0.805891049
K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism	-0.104505649	Dairy	0.491700462	0.805891049
K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	-0.099101731	Dairy	0.491700462	0.805891049
K12267	peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	-0.081597765	Dairy	0.491700462	0.805891049
K07335	basic membrane protein A and related proteins	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell motility	-0.064372327	Dairy	0.491700462	0.805891049
PF00085	[Thioredoxin]		-0.05700032	Dairy	0.491700462	0.805891049
K00930	acetylglutamate kinase [EC:2.7.2.8]	Metabolism; Amino acid metabolism; Arginine biosynthesis	-0.017946397	Dairy	0.491700462	0.805891049
